2016-04-01 12:29:41 startup packages configure
2016-04-01 12:29:43 startup archives unpack
2016-04-01 12:29:43 upgrade bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:43 status half-configured bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status half-installed bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status triggers-pending ureadahead:amd64 0.100.0-16
2016-04-01 12:29:44 status half-installed bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status triggers-pending ufw:all 0.34~rc-0ubuntu2
2016-04-01 12:29:44 status half-installed bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:44 status half-installed bind9:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:44 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:44 upgrade bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.7 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:44 status half-configured bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status unpacked bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status half-installed bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status half-installed bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:44 status unpacked bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:44 status unpacked bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:45 upgrade dnsutils:amd64 1:9.9.5.dfsg-3ubuntu0.7 1:9.9.5.dfsg-3ubuntu0.8
